院校名称,代码,状态,错误信息,日期
山东医学高等专科学校,678,成功,,2026-06-08
上海科学技术职业学院,679,成功,,2026-06-08
上海立达学院,680,成功,,2026-06-08
,681,无效,ID不存在,2026-06-08
上海农林职业技术学院,682,成功,,2026-06-08
上海思博职业技术学院,683,成功,,2026-06-08
上海兴伟学院,684,成功,,2026-06-08
上海工商职业技术学院,685,成功,,2026-06-08
上海行健职业学院,686,成功,,2026-06-08
北华航天工业学院,687,成功,,2026-06-08
河北水利电力学院,688,成功,,2026-06-08
河北石油职业技术大学,689,成功,,2026-06-08
邢台医学院,690,成功,,2026-06-08
河北民族师范学院,691,成功,,2026-06-08
河北金融学院,692,成功,,2026-06-08
河北化工医药职业技术学院,693,成功,,2026-06-08
,694,无效,ID不存在,2026-06-08
河北能源职业技术学院,695,成功,,2026-06-08
张家口职业技术学院,696,成功,,2026-06-08
河北科技工程职业技术大学,697,成功,,2026-06-08
河北工业职业技术大学,698,成功,,2026-06-08
,699,无效,ID不存在,2026-06-08
沧州职业技术学院,700,成功,,2026-06-08
石家庄职业技术学院,701,成功,,2026-06-08
石家庄铁路职业技术学院,702,成功,,2026-06-08
保定职业技术学院,703,成功,,2026-06-08
邯郸职业技术学院,704,成功,,2026-06-08
,705,无效,ID不存在,2026-06-08
上海中侨职业技术大学,706,成功,,2026-06-08
黑龙江林业职业技术学院,707,成功,,2026-06-08
大庆职业学院,708,成功,,2026-06-08
大兴安岭职业学院,709,成功,,2026-06-08
哈尔滨电力职业技术学院,710,成功,,2026-06-08
哈尔滨金融学院,711,成功,,2026-06-08
哈尔滨铁道职业技术学院,712,成功,,2026-06-08
哈尔滨职业技术大学,713,成功,,2026-06-08
鹤岗师范高等专科学校,714,成功,,2026-06-08
哈尔滨建筑科技职业大学,715,成功,,2026-06-08
黑龙江职业学院,716,成功,,2026-06-08
河北软件职业技术学院,717,成功,,2026-06-08
秦皇岛职业技术学院,718,成功,,2026-06-08
,719,无效,ID不存在,2026-06-08
唐山工业职业技术大学,720,成功,,2026-06-08
河北工程技术学院,721,成功,,2026-06-08
衡水职业技术学院,722,成功,,2026-06-08
,723,无效,ID不存在,2026-06-08
河北艺术职业学院,724,成功,,2026-06-08
河北司法警官职业学院,725,成功,,2026-06-08
河北旅游职业学院,726,成功,,2026-06-08
唐山职业技术学院,727,成功,,2026-06-08
石家庄科技信息职业学院,728,成功,,2026-06-08
河北交通职业技术学院,729,成功,,2026-06-08
廊坊职业技术学院,730,成功,,2026-06-08
河北机电职业技术学院,731,成功,,2026-06-08
黑龙江旅游职业技术学院,732,成功,,2026-06-08
黑龙江能源职业学院,733,成功,,2026-06-08
黑龙江民族职业学院,734,成功,,2026-06-08
,735,无效,ID不存在,2026-06-08
,736,无效,ID不存在,2026-06-08
黑龙江农垦职业学院,737,成功,,2026-06-08
黑龙江农业工程职业技术大学,738,成功,,2026-06-08
黑龙江农业职业技术学院,739,成功,,2026-06-08
黑龙江三江美术职业学院,740,成功,,2026-06-08
黑龙江商业职业学院,741,成功,,2026-06-08
黑龙江生态工程职业学院,742,成功,,2026-06-08
,743,无效,ID不存在,2026-06-08
唐山科技职业技术学院,744,成功,,2026-06-08
,745,无效,ID不存在,2026-06-08
石家庄邮电职业技术学院,746,成功,,2026-06-08
河北公安警察职业学院,747,成功,,2026-06-08
河北外国语学院,748,成功,,2026-06-08
,749,无效,ID不存在,2026-06-08
石家庄工程职业学院,750,成功,,2026-06-08
石家庄工商职业学院,751,成功,,2026-06-08
,752,无效,ID不存在,2026-06-08
石家庄信息工程职业学院,753,成功,,2026-06-08
石家庄财经职业学院,754,成功,,2026-06-08
,755,无效,ID不存在,2026-06-08
河北建材职业技术学院,756,成功,,2026-06-08
河北政法职业学院,757,成功,,2026-06-08
,758,无效,ID不存在,2026-06-08
黑龙江司法警官职业学院,759,成功,,2026-06-08
,760,无效,ID不存在,2026-06-08
,761,无效,ID不存在,2026-06-08
黑龙江艺术职业学院,762,成功,,2026-06-08
哈尔滨信息工程学院,763,成功,,2026-06-08
黑龙江农业经济职业学院,764,成功,,2026-06-08
黑龙江工业学院,765,成功,,2026-06-08
牡丹江大学,766,成功,,2026-06-08
齐齐哈尔工程学院,767,成功,,2026-06-08
伊春职业学院,768,成功,,2026-06-08
成都工业学院,769,成功,,2026-06-08
成都东软学院,770,成功,,2026-06-08
成都航空职业技术大学,771,成功,,2026-06-08
成都农业科技职业学院,772,成功,,2026-06-08
成都艺术职业大学,773,成功,,2026-06-08
成都职业技术学院,774,成功,,2026-06-08
泸州职业技术学院,775,成功,,2026-06-08
乐山职业技术学院,776,成功,,2026-06-08
眉山职业技术学院,777,成功,,2026-06-08
绵阳职业技术学院,778,成功,,2026-06-08
四川电力职业技术学院,779,成功,,2026-06-08
四川工商职业技术学院,780,成功,,2026-06-08
四川国际标榜职业学院,781,成功,,2026-06-08
四川旅游学院,782,成功,,2026-06-08
民办四川天一学院,783,成功,,2026-06-08
四川民族学院,784,成功,,2026-06-08
阿坝师范学院,785,成功,,2026-06-08
辽宁工程技术大学,786,成功,,2026-06-08
南通大学,787,成功,,2026-06-08
四川托普信息技术职业学院,788,成功,,2026-06-08
四川职业技术学院,789,成功,,2026-06-08
雅安职业技术学院,790,成功,,2026-06-08
达州职业技术学院,791,成功,,2026-06-08
广安职业技术学院,792,成功,,2026-06-08
四川建筑职业技术大学,793,成功,,2026-06-08
南充职业技术学院,794,成功,,2026-06-08
四川工程职业技术大学,795,成功,,2026-06-08
四川航天职业技术学院,796,成功,,2026-06-08
四川化工职业技术学院,797,成功,,2026-06-08
四川文理学院,798,成功,,2026-06-08
四川机电职业技术学院,799,成功,,2026-06-08
四川交通职业技术学院,800,成功,,2026-06-08
四川工业科技学院,801,成功,,2026-06-08
四川水利职业技术学院,802,成功,,2026-06-08
四川司法警官职业学院,803,成功,,2026-06-08
四川信息职业技术学院,804,成功,,2026-06-08
四川邮电职业技术学院,805,成功,,2026-06-08
襄阳职业技术大学,806,成功,,2026-06-08
,807,无效,ID不存在,2026-06-08
鄂州职业大学,808,成功,,2026-06-08
,809,无效,ID不存在,2026-06-08
湖北职业技术学院,810,成功,,2026-06-08
湖北中医药高等专科学校,811,成功,,2026-06-08
黄冈职业技术大学,812,成功,,2026-06-08
,813,无效,ID不存在,2026-06-08
,814,无效,ID不存在,2026-06-08
武汉商学院,815,成功,,2026-06-08
武汉职业技术大学,816,成功,,2026-06-08
汉江师范学院,817,成功,,2026-06-08
北京科技职业大学,818,成功,,2026-06-08
首都师范大学科德学院,819,成功,,2026-06-08
北京培黎职业学院,820,成功,,2026-06-08
北京科技职业学院,821,成功,,2026-06-08
吉利学院,822,成功,,2026-06-08
北京汇佳职业学院,823,成功,,2026-06-08
北京经贸职业学院,824,成功,,2026-06-08
北京科技经营管理学院,825,成功,,2026-06-08
,826,无效,ID不存在,2026-06-08
,827,无效,ID不存在,2026-06-08
,828,无效,ID不存在,2026-06-08
,829,无效,ID不存在,2026-06-08
中国地质大学（北京）,830,成功,,2026-06-08
华北电力大学（北京）,831,成功,,2026-06-08
中国石油大学（北京）,832,成功,,2026-06-08
河南师范大学,833,成功,,2026-06-08
安阳工学院,834,成功,,2026-06-08
天津医学高等专科学校,835,成功,,2026-06-08
天津电子信息职业技术学院,836,成功,,2026-06-08
天津滨海职业学院,837,成功,,2026-06-08
天津渤海职业技术学院,838,成功,,2026-06-08
天津轻工职业技术学院,839,成功,,2026-06-08
天津警察学院,840,成功,,2026-06-08
天津机电职业技术学院,841,成功,,2026-06-08
,842,无效,ID不存在,2026-06-08
,843,无效,ID不存在,2026-06-08
,844,无效,ID不存在,2026-06-08
天津现代职业技术学院,845,成功,,2026-06-08
天津职业大学,846,成功,,2026-06-08
天津交通职业学院,847,成功,,2026-06-08
天津工业职业学院,848,成功,,2026-06-08
天津工艺美术职业学院,849,成功,,2026-06-08
天津开发区职业技术学院,850,成功,,2026-06-08
天津城市职业学院,851,成功,,2026-06-08
天津石油职业技术学院,852,成功,,2026-06-08
南阳理工学院,853,成功,,2026-06-08
天津国土资源和房屋职业学院,854,成功,,2026-06-08
天津商务职业学院,855,成功,,2026-06-08
,856,无效,ID不存在,2026-06-08
天津艺术职业学院,857,成功,,2026-06-08
天津中德应用技术大学,858,成功,,2026-06-08
天津铁道职业技术学院,859,成功,,2026-06-08
大连商务职业学院,860,成功,,2026-06-08
通辽职业学院,861,成功,,2026-06-08
西安外事学院,862,成功,,2026-06-08
西安思源学院,863,成功,,2026-06-08
,864,无效,ID不存在,2026-06-08
,865,无效,ID不存在,2026-06-08
北京体育大学,866,成功,,2026-06-08
江西水利电力大学,867,成功,,2026-06-08
南昌理工学院,868,成功,,2026-06-08
江西科技学院,869,成功,,2026-06-08
抚州医药学院,870,成功,,2026-06-08
江西卫生职业学院,871,成功,,2026-06-08
豫章师范学院,872,成功,,2026-06-08
河南中医药大学,873,成功,,2026-06-08
江西警察学院,874,成功,,2026-06-08
首都经济贸易大学,875,成功,,2026-06-08
信阳师范大学,876,成功,,2026-06-08
,877,无效,ID不存在,2026-06-08
安阳师范学院,878,成功,,2026-06-08
北京信息科技大学,879,成功,,2026-06-08
平顶山学院,880,成功,,2026-06-08
北京青年政治学院,881,成功,,2026-06-08
北京信息职业技术学院,882,成功,,2026-06-08
河南科技学院,883,成功,,2026-06-08
黄淮学院,884,成功,,2026-06-08
北京工业职业技术学院,885,成功,,2026-06-08
郑州警察学院,886,成功,,2026-06-08
北京经济技术职业学院,887,成功,,2026-06-08
萍乡学院,888,成功,,2026-06-08
景德镇学院,889,成功,,2026-06-08
漯河医学高等专科学校,890,成功,,2026-06-08
新余学院,891,成功,,2026-06-08
,892,无效,ID不存在,2026-06-08
江西职业技术大学,893,成功,,2026-06-08
河南工学院,894,成功,,2026-06-08
江西工业职业技术学院,895,成功,,2026-06-08
九江职业大学,896,成功,,2026-06-08
北京政法职业学院,897,成功,,2026-06-08
,898,无效,ID不存在,2026-06-08
北京财贸职业学院,899,成功,,2026-06-08
江西工业贸易职业技术学院,900,成功,,2026-06-08
,901,无效,ID不存在,2026-06-08
郑州电力高等专科学校,902,成功,,2026-06-08
,903,无效,ID不存在,2026-06-08
江西现代职业技术学院,904,成功,,2026-06-08
,905,无效,ID不存在,2026-06-08
,906,无效,ID不存在,2026-06-08
北京京北职业技术学院,907,成功,,2026-06-08
宜春职业技术学院,908,成功,,2026-06-08
南昌职业大学,909,成功,,2026-06-08
北京交通职业技术学院,910,成功,,2026-06-08
北京戏曲艺术职业学院,911,成功,,2026-06-08
北京北大方正软件职业技术学院,912,成功,,2026-06-08
江西交通职业技术学院,913,成功,,2026-06-08
抚州职业技术学院,914,成功,,2026-06-08
武汉民政职业学院,915,成功,,2026-06-08
,916,无效,ID不存在,2026-06-08
江西应用工程职业学院,917,成功,,2026-06-08
北京农业职业学院,918,成功,,2026-06-08
山西中医药大学,919,成功,,2026-06-08
运城学院,920,成功,,2026-06-08
晋中学院,921,成功,,2026-06-08
江西工程职业学院,922,成功,,2026-06-08
江西科技职业学院,923,成功,,2026-06-08
,924,无效,ID不存在,2026-06-08
江西生物科技职业学院,925,成功,,2026-06-08
江西外语外贸职业学院,926,成功,,2026-06-08
江西司法警官职业学院,927,成功,,2026-06-08
江西应用科技学院,928,成功,,2026-06-08
西昌学院,929,成功,,2026-06-08
,930,无效,ID不存在,2026-06-08
江西电力职业技术学院,931,成功,,2026-06-08
攀枝花学院,932,成功,,2026-06-08
炎黄职业技术学院,933,成功,,2026-06-08
西南大学,934,成功,,2026-06-08
贵州大学,935,成功,,2026-06-08
海军军医大学,936,成功,,2026-06-08
中国人民解放军空军军医大学,937,成功,,2026-06-08
,938,无效,ID不存在,2026-06-08
中国人民解放军国防科技大学,939,成功,,2026-06-08
江西旅游商贸职业学院,940,成功,,2026-06-08
江西农业工程职业学院,941,成功,,2026-06-08
江西青年职业学院,942,成功,,2026-06-08
江西机电职业技术学院,943,成功,,2026-06-08
江西陶瓷工艺美术职业技术学院,944,成功,,2026-06-08
,945,无效,ID不存在,2026-06-08
江西制造职业技术学院,946,成功,,2026-06-08
上饶职业技术学院,947,成功,,2026-06-08
江西应用技术职业学院,948,成功,,2026-06-08
江西财经职业学院,949,成功,,2026-06-08
江西艺术职业学院,950,成功,,2026-06-08
赣西科技职业学院,951,成功,,2026-06-08
江西飞行学院,952,成功,,2026-06-08
江西航空职业技术学院,953,成功,,2026-06-08
鹰潭职业技术学院,954,成功,,2026-06-08
江西建设职业技术学院,955,成功,,2026-06-08
江西工业工程职业技术学院,956,成功,,2026-06-08
江西工程学院,957,成功,,2026-06-08
江西信息应用职业技术学院,958,成功,,2026-06-08
江西环境工程职业学院,959,成功,,2026-06-08
南方医科大学,960,成功,,2026-06-08
肇庆学院,961,成功,,2026-06-08
,962,无效,ID不存在,2026-06-08
广东警官学院,963,成功,,2026-06-08
广东技术师范大学,964,成功,,2026-06-08
广东培正学院,965,成功,,2026-06-08
广东白云学院,966,成功,,2026-06-08
广州航海学院,967,成功,,2026-06-08
肇庆医学院,968,成功,,2026-06-08
,969,无效,ID不存在,2026-06-08
广东农工商职业技术学院,970,成功,,2026-06-08
佛山职业技术学院,971,成功,,2026-06-08
广东松山职业技术学院,972,成功,,2026-06-08
广东新安职业技术学院,973,成功,,2026-06-08
顺德职业技术大学,974,成功,,2026-06-08
潮汕职业技术学院,975,成功,,2026-06-08
广东工商职业技术大学,976,成功,,2026-06-08
广东理工学院,977,成功,,2026-06-08
广州华南商贸职业学院,978,成功,,2026-06-08
广州体育职业技术学院,979,成功,,2026-06-08
广东司法警官职业学院,980,成功,,2026-06-08
广州城市职业学院,981,成功,,2026-06-08
,982,无效,ID不存在,2026-06-08
广东邮电职业技术学院,983,成功,,2026-06-08
清远职业技术学院,984,成功,,2026-06-08
深圳信息职业技术大学,985,成功,,2026-06-08
,986,无效,ID不存在,2026-06-08
珠海城市职业技术学院,987,成功,,2026-06-08
江门职业技术学院,988,成功,,2026-06-08
惠州经济职业技术学院,989,成功,,2026-06-08
广州华立科技职业学院,990,成功,,2026-06-08
广东工程职业技术学院,991,成功,,2026-06-08
广东理工职业学院,992,成功,,2026-06-08
河源职业技术学院,993,成功,,2026-06-08
阳江职业技术学院,994,成功,,2026-06-08
广东岭南职业技术学院,995,成功,,2026-06-08
,996,无效,ID不存在,2026-06-08
广东女子职业技术学院,997,成功,,2026-06-08
汕尾职业技术学院,998,成功,,2026-06-08
广州现代信息工程职业技术学院,999,成功,,2026-06-08
广州科技职业技术大学,1000,成功,,2026-06-08
广州涉外经济职业技术学院,1001,成功,,2026-06-08
广东科学技术职业学院,1002,成功,,2026-06-08
,1003,无效,ID不存在,2026-06-08
广东行政职业学院,1004,成功,,2026-06-08
广州康大职业技术学院,1005,成功,,2026-06-08
中国矿业大学（北京）,1006,成功,,2026-06-08
武汉科技大学,1007,成功,,2026-06-08
长江工程职业技术学院,1008,成功,,2026-06-08
重庆科技大学,1009,成功,,2026-06-08
上海商学院,1010,成功,,2026-06-08
上海政法学院,1011,成功,,2026-06-08
大庆师范学院,1012,成功,,2026-06-08
武汉铁路职业技术学院,1013,成功,,2026-06-08
吉林农业科技学院,1014,成功,,2026-06-08
随州职业技术学院,1015,成功,,2026-06-08
武汉航海职业技术学院,1016,成功,,2026-06-08
长沙南方职业学院,1017,成功,,2026-06-08
重庆交通大学,1018,成功,,2026-06-08
武汉警官职业学院,1019,成功,,2026-06-08
福建医科大学,1020,成功,,2026-06-08
福建中医药大学,1021,成功,,2026-06-08
蚌埠医科大学,1022,成功,,2026-06-08
阜阳师范大学,1023,成功,,2026-06-08
安庆师范大学,1024,成功,,2026-06-08
,1025,无效,ID不存在,2026-06-08
湖北理工学院,1026,成功,,2026-06-08
湖北警官学院,1027,成功,,2026-06-08
,1028,无效,ID不存在,2026-06-08
长沙学院,1029,成功,,2026-06-08
,1030,无效,ID不存在,2026-06-08
广东金融学院,1031,成功,,2026-06-08
,1032,无效,ID不存在,2026-06-08
右江民族医学院,1033,成功,,2026-06-08
广西中医药大学,1034,成功,,2026-06-08
河池学院,1035,成功,,2026-06-08
伊犁师范大学,1036,成功,,2026-06-08
,1037,无效,ID不存在,2026-06-08
重庆文理学院,1038,成功,,2026-06-08
,1039,无效,ID不存在,2026-06-08
,1040,无效,ID不存在,2026-06-08
沈阳工程学院,1041,成功,,2026-06-08
赤峰大学,1042,成功,,2026-06-08
西安文理学院,1043,成功,,2026-06-08
昆明学院,1044,成功,,2026-06-08
黑河学院,1045,成功,,2026-06-08
广西财经学院,1046,成功,,2026-06-08
吉林医药学院,1047,成功,,2026-06-08
金陵科技学院,1048,成功,,2026-06-08
徐州工程学院,1049,成功,,2026-06-08
河南职业技术学院,1050,成功,,2026-06-08
江苏农牧科技职业学院,1051,成功,,2026-06-08
湖北经济学院法商学院,1052,成功,,2026-06-08
,1053,无效,ID不存在,2026-06-08
,1054,无效,ID不存在,2026-06-08
保险职业学院,1055,成功,,2026-06-08
湖北三峡职业技术学院,1056,成功,,2026-06-08
,1057,无效,ID不存在,2026-06-08
,1058,无效,ID不存在,2026-06-08
武汉交通职业学院,1059,成功,,2026-06-08
,1060,无效,ID不存在,2026-06-08
厦门理工学院,1061,成功,,2026-06-08
哈尔滨师范大学,1062,成功,,2026-06-08
绥化学院,1063,成功,,2026-06-08
淮阴师范学院,1064,成功,,2026-06-08
南京工业职业技术大学,1065,成功,,2026-06-08
浙江传媒学院,1066,成功,,2026-06-08
辽宁科技学院,1067,成功,,2026-06-08
湖北城市建设职业技术学院,1068,成功,,2026-06-08
江苏工程职业技术学院,1069,成功,,2026-06-08
湖南人文科技学院,1070,成功,,2026-06-08
贵阳学院,1071,成功,,2026-06-08
,1072,无效,ID不存在,2026-06-08
重庆工商大学,1073,成功,,2026-06-08
湖北水利水电职业技术学院,1074,成功,,2026-06-08
成都医学院,1075,成功,,2026-06-08
,1076,无效,ID不存在,2026-06-08
文华学院,1077,成功,,2026-06-08
,1078,无效,ID不存在,2026-06-08
,1079,无效,ID不存在,2026-06-08
,1080,无效,ID不存在,2026-06-08
,1081,无效,ID不存在,2026-06-08
绵阳师范学院,1082,成功,,2026-06-08
内江师范学院,1083,成功,,2026-06-08
宜宾学院,1084,成功,,2026-06-08
乐山师范学院,1085,成功,,2026-06-08
成都体育学院,1086,成功,,2026-06-08
,1087,无效,ID不存在,2026-06-08
,1088,无效,ID不存在,2026-06-08
曲靖师范学院,1089,成功,,2026-06-08
榆林大学,1090,成功,,2026-06-08
塔里木大学,1091,成功,,2026-06-08
上海电机学院,1092,成功,,2026-06-08
西藏藏医药大学,1093,成功,,2026-06-08
陇东学院,1094,成功,,2026-06-08
天水师范大学,1095,成功,,2026-06-08
广州南方学院,1096,成功,,2026-06-08
苏州百年职业学院,1097,成功,,2026-06-08
,1098,无效,ID不存在,2026-06-08
武汉华夏理工学院,1099,成功,,2026-06-08
商丘医学高等专科学校,1100,成功,,2026-06-08
,1101,无效,ID不存在,2026-06-08
西安航空学院,1102,成功,,2026-06-08
,1103,无效,ID不存在,2026-06-08
武昌首义学院,1104,成功,,2026-06-08
汉口学院,1105,成功,,2026-06-08
长江职业学院,1106,成功,,2026-06-08
,1107,无效,ID不存在,2026-06-08
,1108,无效,ID不存在,2026-06-08
,1109,无效,ID不存在,2026-06-08
北京金融科技学院,1110,成功,,2026-06-08
,1111,无效,ID不存在,2026-06-08
北京工业大学耿丹学院,1112,成功,,2026-06-08
,1113,无效,ID不存在,2026-06-08
郑州经贸学院,1114,成功,,2026-06-08
北京邮电大学世纪学院,1115,成功,,2026-06-08
江苏建筑职业技术大学,1116,成功,,2026-06-08
,1117,无效,ID不存在,2026-06-08
江苏警官学院,1118,成功,,2026-06-08
,1119,无效,ID不存在,2026-06-08
扬州环境资源职业技术学院,1120,成功,,2026-06-08
常州纺织服装职业技术学院,1121,成功,,2026-06-08
,1122,无效,ID不存在,2026-06-08
,1123,无效,ID不存在,2026-06-08
三峡大学科技学院,1124,成功,,2026-06-08
郑州财经学院,1125,成功,,2026-06-08
,1126,无效,ID不存在,2026-06-08
陕西青年职业学院,1127,成功,,2026-06-08
陕西航空职业技术学院,1128,成功,,2026-06-08
中国矿业大学徐海学院,1129,成功,,2026-06-08
陕西警察学院,1130,成功,,2026-06-08
电子科技大学成都学院,1131,成功,,2026-06-08
内蒙古化工职业学院,1132,成功,,2026-06-08
中南林业科技大学涉外学院,1133,成功,,2026-06-08
太原工业学院,1134,成功,,2026-06-08
,1135,无效,ID不存在,2026-06-08
,1136,无效,ID不存在,2026-06-08
,1137,无效,ID不存在,2026-06-08
,1138,无效,ID不存在,2026-06-08
南京警察学院,1139,成功,,2026-06-08
南京特殊教育师范学院,1140,成功,,2026-06-08
南京铁道职业技术学院,1141,成功,,2026-06-08
山东中医药大学,1142,成功,,2026-06-08
南京理工大学泰州科技学院,1143,成功,,2026-06-08
武汉工程科技学院,1144,成功,,2026-06-08
东南大学成贤学院,1145,成功,,2026-06-08
陕西经济管理职业技术学院,1146,成功,,2026-06-08
郑州师范学院,1147,成功,,2026-06-08
郑州工商学院,1148,成功,,2026-06-08
,1149,无效,ID不存在,2026-06-08
郑州电子信息职业技术学院,1150,成功,,2026-06-08
常州工程职业技术学院,1151,成功,,2026-06-08
山西医药学院,1152,成功,,2026-06-08
内蒙古交通职业技术学院,1153,成功,,2026-06-08
钟山职业技术学院,1154,成功,,2026-06-08
扬州工业职业技术学院,1155,成功,,2026-06-08
郑州铁路职业技术学院,1156,成功,,2026-06-08
武昌理工学院,1157,成功,,2026-06-08
湖北医药学院药护学院,1158,成功,,2026-06-08
武汉东湖学院,1159,成功,,2026-06-08
空军预警学院,1160,成功,,2026-06-08
商丘工学院,1161,成功,,2026-06-08
湖北交通职业技术学院,1162,成功,,2026-06-08
内蒙古电子信息职业技术学院,1163,成功,,2026-06-08
内蒙古商贸职业学院,1164,成功,,2026-06-08
菏泽医学专科学校,1165,成功,,2026-06-08
辽宁理工学院,1166,成功,,2026-06-08
保定理工学院,1167,成功,,2026-06-08
青岛酒店管理职业技术学院,1168,成功,,2026-06-08
武汉学院,1169,成功,,2026-06-08
宿迁学院,1170,成功,,2026-06-08
常州信息职业技术学院,1171,成功,,2026-06-08
濮阳职业技术学院,1172,成功,,2026-06-08
,1173,无效,ID不存在,2026-06-08
,1174,无效,ID不存在,2026-06-08
,1175,无效,ID不存在,2026-06-08
武汉城市学院,1176,成功,,2026-06-08
成都轻工职业技术大学,1177,成功,,2026-06-08
洛阳理工学院,1178,成功,,2026-06-08
三江学院,1179,成功,,2026-06-08
宿州学院,1180,成功,,2026-06-08
苏州职业技术大学,1181,成功,,2026-06-08
苏州工学院,1182,成功,,2026-06-08
,1183,无效,ID不存在,2026-06-08
西安翻译学院,1184,成功,,2026-06-08
西京学院,1185,成功,,2026-06-08
厦门华天涉外职业技术学院,1186,成功,,2026-06-08
鹤壁职业技术学院,1187,成功,,2026-06-08
湖南涉外经济学院,1188,成功,,2026-06-08
宁波工程学院,1189,成功,,2026-06-08
南京财经大学红山学院,1190,成功,,2026-06-08
无锡科技职业学院,1191,成功,,2026-06-08
建东职业技术学院,1192,成功,,2026-06-08
徐州工业职业技术学院,1193,成功,,2026-06-08
,1194,无效,ID不存在,2026-06-08
天津生物工程职业技术学院,1195,成功,,2026-06-08
安徽中医药大学,1196,成功,,2026-06-08
,1197,无效,ID不存在,2026-06-08
长沙商贸旅游职业技术学院,1198,成功,,2026-06-08
金山职业技术学院,1199,成功,,2026-06-08
,1200,无效,ID不存在,2026-06-08
山西药科职业学院,1201,成功,,2026-06-08
,1202,无效,ID不存在,2026-06-08
信阳农林学院,1203,成功,,2026-06-08
山东警察学院,1204,成功,,2026-06-08
,1205,无效,ID不存在,2026-06-08
,1206,无效,ID不存在,2026-06-08
,1207,无效,ID不存在,2026-06-08
,1208,无效,ID不存在,2026-06-08
,1209,无效,ID不存在,2026-06-08
山东航空学院,1210,成功,,2026-06-08
武警后勤学院,1211,成功,,2026-06-08
辽宁警察学院,1212,成功,,2026-06-08
武警工程大学,1213,成功,,2026-06-08
集美大学诚毅学院,1214,成功,,2026-06-08
上海师范大学天华学院,1215,成功,,2026-06-08
宁波诺丁汉大学,1216,成功,,2026-06-08
北京大学医学部,1217,成功,,2026-06-08
东北大学秦皇岛分校,1218,成功,,2026-06-08
山东大学（威海）,1219,成功,,2026-06-08
香港中文大学,1220,成功,,2026-06-08
香港城市大学,1221,成功,,2026-06-08
网络空间部队信息工程大学,1222,成功,,2026-06-08
解放军国际关系学院,1223,成功,,2026-06-08
中国人民解放军西安通信学院,1224,成功,,2026-06-08
,1225,无效,ID不存在,2026-06-08
联勤保障部队工程大学,1226,成功,,2026-06-08
中国人民解放军陆军军医大学,1227,成功,,2026-06-08
,1228,无效,ID不存在,2026-06-08
陆军装甲兵学院,1229,成功,,2026-06-08
中国人民解放军空军工程大学,1230,成功,,2026-06-08
火箭军工程大学,1231,成功,,2026-06-08
重庆人文科技学院,1232,成功,,2026-06-08
香港科技大学,1233,成功,,2026-06-08
香港大学,1234,成功,,2026-06-08
,1235,无效,ID不存在,2026-06-08
贵州工程应用技术学院,1236,成功,,2026-06-08
,1237,无效,ID不存在,2026-06-08
济宁医学院,1238,成功,,2026-06-08
常州工业职业技术学院,1239,成功,,2026-06-08
,1240,无效,ID不存在,2026-06-08
宁夏师范大学,1241,成功,,2026-06-08
呼伦贝尔学院,1242,成功,,2026-06-08
长沙医学院,1243,成功,,2026-06-08
辽宁对外经贸学院,1244,成功,,2026-06-08
青岛滨海学院,1245,成功,,2026-06-08
枣庄学院,1246,成功,,2026-06-08
滁州学院,1247,成功,,2026-06-08
,1248,无效,ID不存在,2026-06-08
海南热带海洋学院,1249,成功,,2026-06-08
龙岩学院,1250,成功,,2026-06-08
梧州学院,1251,成功,,2026-06-08
百色学院,1252,成功,,2026-06-08
陆军军事交通学院,1253,成功,,2026-06-08
,1254,无效,ID不存在,2026-06-08
丽水学院,1255,成功,,2026-06-08
北部湾大学,1256,成功,,2026-06-08
长治学院,1257,成功,,2026-06-08
河北科技师范学院,1258,成功,,2026-06-08
贺州学院,1259,成功,,2026-06-08
,1260,无效,ID不存在,2026-06-08
三明学院,1261,成功,,2026-06-08
商洛学院,1262,成功,,2026-06-08
安康学院,1263,成功,,2026-06-08
菏泽学院,1264,成功,,2026-06-08
西安医学院,1265,成功,,2026-06-08
铜仁学院,1266,成功,,2026-06-08
安顺学院,1267,成功,,2026-06-08
凯里学院,1268,成功,,2026-06-08
兰州城市学院,1269,成功,,2026-06-08
香港演艺学院,1270,成功,,2026-06-08
,1271,无效,ID不存在,2026-06-08
澳门理工大学,1272,成功,,2026-06-08
,1273,无效,ID不存在,2026-06-08
长春科技学院,1274,成功,,2026-06-08
北师香港浸会大学,1275,成功,,2026-06-08
吉林师范大学博达学院,1276,成功,,2026-06-08
昆明医科大学海源学院,1277,成功,,2026-06-08
四川文化产业职业学院,1278,成功,,2026-06-08
山东政法学院,1279,成功,,2026-06-08
昆明城市学院,1280,成功,,2026-06-08
武汉体育学院体育科技学院,1281,成功,,2026-06-08
,1282,无效,ID不存在,2026-06-08
,1283,无效,ID不存在,2026-06-08
西安海棠职业学院,1284,成功,,2026-06-08
广州新华学院,1285,成功,,2026-06-08
,1286,无效,ID不存在,2026-06-08
香港理工大学,1287,成功,,2026-06-08
大连工业大学艺术与信息工程学院,1288,成功,,2026-06-08
广州城建职业学院,1289,成功,,2026-06-08
,1290,无效,ID不存在,2026-06-08
吉林艺术学院,1291,成功,,2026-06-08
,1292,无效,ID不存在,2026-06-08
,1293,无效,ID不存在,2026-06-08
,1294,无效,ID不存在,2026-06-08
,1295,无效,ID不存在,2026-06-08
,1296,无效,ID不存在,2026-06-08
